annee_numero_de_tirage,jour_de_tirage,date_de_tirage,numéro_de_tirage_dans_le_cycle,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
25032,MARDI,22/04/25,5,20/07/25,7,28,33,37,47,9,12
25031,VENDREDI,18/04/2025,4,17/07/2025,20,48,39,35,27,3,8
25030,MARDI,15/04/2025,3,14/07/2025,3,31,38,44,33,12,6
25029,VENDREDI,11/04/2025,2,10/07/2025,14,34,46,49,28,3,8
25028,MARDI,08/04/2025,1,07/07/2025,15,3,48,14,49,1,7
25027,VENDREDI,04/04/2025,2,03/07/2025,50,27,39,45,41,7,5
25026,MARDI,01/04/2025,1,30/06/2025,30,49,46,9,24,4,12
25025,VENDREDI,28/03/2025,8,26/06/2025,10,21,30,45,42,1,9
25024,MARDI,25/03/2025,7,23/06/2025,36,3,18,33,1,6,2
25023,VENDREDI,21/03/2025,6,19/06/2025,9,17,18,21,50,12,5
25022,MARDI,18/03/2025,5,16/06/2025,46,9,35,4,50,8,11
